"kigo","yomigana","kyukana","bodai"
"謝肉祭","しゃにくさい","","[""カーニバル"",""カルナバル""]"
"石鹸玉","しゃぼんだま","しやぼんだま","[""""]"
"修二会","しゅにえ","しゆにゑ","[""二月堂の行"",""お松明""]"
"春陰","しゅんいん","","[""""]"
"春菊","しゅんぎく","しゆんぎく","[""しゅん蒿"",""高麗菊"",""菊菜""]"
"春暁","しゅんぎょう","しゆんげう","[""春の暁"",""春の曙"",""春の朝""]"
"春月","しゅんげつ","","[""""]"
"春光","しゅんこう","しゆんくわう","[""春の光"",""春色"",""春の色"",""春望""]"
"春社","しゅんしゃ","","[""社日"",""社日様"",""社日参"",""社翁の雨""]"
"春愁","しゅんしゅう","しゆんしう","[""春愁"",""春愁ふ"",""春かなし"",""春思""]"
"春塵","しゅんじん","しゅんぢん","[""春の塵"",""春埃""]"
"春昼","しゅんちゅう","しゆんちう","[""春の昼""]"
"春潮","しゅんちょう","しゆんてう","[""春の潮""]"
"春泥","しゅんでい","しゆんでい","[""春の泥""]"
"春闘","しゅんとう","しゆんとう","[""春季闘争""]"
"春分","しゅんぶん","","[""中日（ちゅうにち）""]"
"春分の日","しゅんぶんのひ","しゆんぶんのひ","[""""]"
"春風","しゅんぷう","","[""春の風"",""春風""]"
"春服","しゅんぷく","しゆんぷく","[""春の服"",""春装""]"
"春眠","しゅんみん","しゆんみん","[""春睡"",""春の眠り"",""春眠し""]"
"春雷","しゅんらい","","[""春の雷"",""初雷"",""虫出しの雷"",""虫出し""]"
"春蘭","しゅんらん","しゆんらん","[""ほくろ""]"
"聖霊会","しょうりょうえ","しやうりやうゑ","[""貝の華""]"
"松露","しょうろ","しようろ","[""""]"
"昭和の日","しょうわのひ","","[""""]"
"植樹祭","しょくじゅさい","","[""""]"
"白魚","しらうお","しらうを","[""しらを"",""白魚網"",""白魚舟"",""白魚漁"",""白魚汲む"",""白魚火""]"
"白樺の花","しらかばのはな","","[""樺の花"",""花かんば""]"
"白子干","しらすぼし","","[""白子"",""ちりめんじゃこ"",""ちりめん""]"
"白酒","しろざけ","","[""""]"
"蜃気楼","しんきろう","","[""海市"",""山市"",""蜃楼"",""蜃市"",""喜見城"",""かいやぐら"",""きつねだな""]"
"地虫穴を出づ","じむしあなをいづ","ぢむしあなをいづ","[""地虫出づ"",""蟻穴を出づ"",""蜥蜴出づ""]"
"十三詣","じゅうさんまいり","じふさんまゐり","[""知恵詣"",""知恵貰ひ""]"
"受験","じゅけん","","[""受験生"",""受験期"",""試験"",""入学試験"",""卒業試験"",""及第"",""落第"",""大試験""]"
"受難節","じゅなんせつ","じゆなんせつ","[""受苦節"",""受難週""]"
"常楽会","じょうらくえ","じやうらくゑ","[""""]"
"沈丁花","じんちょうげ","ぢんちやうげ","[""沈丁"",""丁字"",""瑞香"",""芸香""]"
"酸葉","すいば","","[""すかんぽ"",""酸模（すいば）"",""すいすい""]"
"杉菜","すぎな","","[""接ぎ松""]"
"杉の花","すぎのはな","","[""""]"
"末黒の芒","すぐろのすすき","","[""焼野の芒"",""黒生の芒""]"
"鈴懸の花","すずかけのはな","","[""プラタナスの花""]"
"雀の子","すずめのこ","","[""子雀"",""親雀"",""黄雀""]"
"雀の巣","すずめのす","","[""""]"
"スターリン忌","すたーりんき","","[""""]"
"巣立鳥","すだちどり","","[""巣立""]"
"巣箱","すばこ","","[""""]"
"菫","すみれ","","[""菫草"",""花菫"",""香菫"",""相撲取草"",""相撲花"",""一夜草"",""一葉草"",""壷菫"",""三色菫"",""パンジー""]"
"李の花","すもものはな","","[""花李""]"
"聖金曜日","せいきんようび","せいきんえうび","[""聖金曜"",""受難日""]"
"誓子忌","せいしき","","[""""]"
"製茶","せいちゃ","せいちや","[""茶づくり"",""茶揉み"",""焙炉"",""焙炉場"",""焙炉師""]"
"清明","せいめい","","[""""]"
"釈奠","せきてん","","[""おきまつり"",""孔子祭"",""聖廟忌"",""釈菜""]"
"芹","せり","","[""根白草"",""根芹"",""田芹"",""芹摘む""]"
"剪定","せんてい","","[""""]"
"先帝祭","せんていさい","","[""先帝会""]"
"薇","ぜんまい","","[""狗背"",""紫蕨"",""おに蕨"",""いぬ蕨""]"
"早春","そうしゅん","さうしゅん","[""初春"",""春の初め""]"
"卒業","そつぎょう","そつげふ","[""卒業生"",""卒業式"",""卒業期"",""卒業証書"",""卒業歌""]"
"蚕豆の花","そらまめのはな","","[""""]"
"田打","たうち","","[""春田打"",""田を打つ"",""田を返す"",""田を鋤く""]"
"鷹鳩と化す","たかはととかす","","[""鷹化して鳩と為る（たかかしてはととなる）""]"
"高山祭","たかやままつり","","[""高山春祭"",""山王祭""]"
"耕","たがやし","","[""耕す"",""春耕"",""耕人"",""耕馬"",""耕牛"",""馬耕"",""耕耘機""]"
"多喜二忌","たきじき","","[""多喜二の忌""]"
"啄木忌","たくぼくき","","[""""]"
"竹の秋","たけのあき","","[""竹秋""]"
"凧","たこ","","[""紙鳶"",""いかのぼり"",""宇凧"",""絵凧"",""奴凧"",""切凧"",""懸凧"",""はた""]"
"立子忌","たつこき","","[""""]"
"達治忌","たつじき","","[""""]"
"田螺","たにし","","[""田螺鳴く"",""田螺取""]"
"種芋","たねいも","","[""芋種"",""種薯"",""芋の芽""]"
"種選","たねえらび","","[""種選り""]"
"種浸し","たねひたし","","[""種かし"",""種ふて"",""種つける"",""種ふせる"",""籾つける"",""種井"",""種俵"",""種池""]"
"種蒔","たねまき","","[""種下し"",""播種"",""籾蒔く""]"
"種物","たねもの","","[""物種"",""花種"",""種物屋"",""種売"",""種袋""]"
"たらの芽","たらのめ","","[""たらめ"",""多羅の芽""]"
"蒲公英","たんぽぽ","","[""鼓草"",""藤菜"",""蒲公英の絮""]"
"大根の花","だいこんのはな","","[""花大根（だいこ）"",""種大根""]"
"暖炉納む","だんろおさむ","だんろをさむ","[""暖炉外す"",""ストーブ除く""]"
"萵苣","ちさ","","[""ちしや"",""かきぢしや"",""レタス""]"
"遅春","ちしゅん","","[""春遅し"",""春遅々""]"
"遅日","ちじつ","","[""遅き日"",""暮遅し"",""暮かぬる"",""夕永し""]"
"父子草","ちちこぐさ","","[""""]"
"茶摘","ちゃつみ","ちやつみ","[""一番茶"",""茶摘時"",""茶摘女"",""茶摘唄"",""茶摘籠"",""茶摘笠"",""茶山"",""茶畑"",""茶園""]"
"仲春","ちゅうしゅん","","[""春なかば""]"
"チューリップ","ちゅーりっぷ","","[""鬱金香"",""牡丹百合""]"
"蝶","ちょう","てふ","[""蝶々"",""胡蝶"",""初蝶"",""白蝶"",""黄蝶"",""紋白蝶"",""烏蝶"",""蝶生る"",""てふてふ""]"
"接木","つぎき","","[""接穂"",""砧木"",""接木苗"",""芽接"",""根接""]"
"土筆","つくし","","[""つくづくし"",""つくしんぼ"",""筆の花"",""土筆野"",""土筆摘む""]"
"黄楊の花","つげのはな","","[""""]"
"蔦の芽","つたのめ","","[""""]"
"蔦若葉","つたわかば","","[""""]"
"躑躅","つつじ","","[""山躑躅"",""蓮華躑躅"",""霧島""]"
"角叉","つのまた","","[""""]"
"椿","つばき","","[""山椿"",""藪椿"",""白椿"",""紅椿"",""乙女椿"",""八重椿"",""玉椿"",""つらつら椿"",""花椿"",""散る椿"",""落椿"",""五百椿""]"
"椿餅","つばきもち","","[""""]"
"茅花","つばな","","[""白茅の花""]"
"燕","つばめ","","[""乙鳥"",""玄鳥"",""つばくら"",""つばくろ"",""つばくらめ"",""飛燕"",""燕来る"",""初燕"",""朝燕"",""夕燕"",""里燕""]"
"燕の巣","つばめのす","","[""巣燕""]"
"壷焼","つぼやき","","[""焼栄螺""]"
"摘草","つみくさ","","[""草摘む""]"
"田楽","でんがく","","[""木の芽田楽"",""田楽豆腐"",""田楽焼"",""田楽刺""]"
"東京大空襲忌","とうきょうだいくうしゅうき","とうきやうだいくうしふき","[""""]"
"踏青","とうせい","たふせい","[""青き踏む""]"
"土佐水木","とさみずき","とさみづき","[""蝋弁花""]"
"友二忌","ともじき","","[""""]"
"鶏合","とりあわせ","とりあはせ","[""闘鶏"",""鶏の蹴合"",""勝鶏"",""負鶏""]"
"鳥帰る","とりかえる","とりかへる","[""小鳥帰る"",""鳥引く"",""引鳥""]"
"鳥貝","とりがい","","[""""]"
"鳥雲に入る","とりくもにいる","","[""鳥雲に""]"
"鳥曇","とりぐもり","","[""鳥曇"",""鳥風""]"
"鳥交る","とりさかる","","[""鳥つるむ"",""孕鳥"",""鳥の恋""]"
"鳥の巣","とりのす","","[""小鳥の巣"",""巣組み"",""巣籠"",""巣隠"",""巣鳥"",""古巣""]"
"満天星の花","どうだんのはな","","[""満天星躑躅""]"
"どんたく","どんたく","","[""松囃子"",""どんたく囃子""]"
"苗木市","なえぎいち","なへぎいち","[""植木市""]"
"苗木植う","なえぎうう","なへぎうう","[""植林""]"
"苗床","なえどこ","なへどこ","[""種床"",""播床"",""温床"",""苗障子""]"
"苗札","なえふだ","なへふだ","[""""]"
"梨の花","なしのはな","","[""花梨""]"
"薺の花","なずなのはな","なづなのはな","[""花薺"",""三味線草"",""ぺんぺん草""]"
"菜種梅雨","なたねづゆ","","[""""]"
"雪崩","なだれ","","[""雪なだれ""]"
"夏近し","なつちかし","","[""夏隣る"",""夏隣る"",""五月近し""]"
"夏蜜柑","なつみかん","","[""""]"
"菜の花","なのはな","","[""花菜"",""菜種の花"",""油菜"",""菜種菜"",""花菜雨"",""花菜風""]"
"菜飯","なめし","","[""""]"
"苗代","なわしろ","なはしろ","[""苗田"",""苗代田"",""種案山子"",""苗代時"",""苗代寒""]"
"二月","にがつ","にぐわつ","[""二月尽""]"
"二月礼者","にがつれいじゃ","にぐわつれいじや","[""""]"
"逃げ水","にげみず","にげみづ","[""逃水""]"
"鰊","にしん","","[""鯡"",""春告魚"",""鰊群来"",""鰊漁"",""鰊舟"",""鰊曇""]"
"蜷","にな","","[""みな"",""河貝子"",""海蜷"",""河蜷"",""蜷の道""]"
"入学","にゅうがく","にふがく","[""入学式"",""入学児"",""新入生"",""一年生"",""入園"",""進学""]"
"韮","にら","","[""ふたもじ""]"
"接骨木の花","にわとこのはな","にはとこのはな","[""たづの花""]"
"蒜","にんにく","","[""葫"",""ひる"",""大蒜""]"
"蓴生ふ","ぬなはおう","ぬなはおふ","[""蓴菜生ふ""]"
"葱坊主","ねぎぼうず","ねぎばうず","[""葱の花"",""葱の擬宝""]"
"ネクタリン","ねくたりん","","[""椿桃"",""光桃"",""油桃""]"
"猫の子","ねこのこ","","[""子猫"",""猫の親"",""猫の産""]"
"猫の恋","ねこのこい","ねこのこひ","[""恋猫"",""猫交る"",""うかれ猫"",""猫の夫"",""猫の妻"",""春の猫"",""孕猫""]"
"猫柳","ねこやなぎ","","[""""]"
"ねぢあやめ","ねぢあやめ","","[""馬藺""]"
"ねぢあやめ","ねぢあやめ","","[""馬蘭""]"
"涅槃会","ねはんえ","ねはんゑ","[""涅槃"",""涅槃の日"",""仏忌"",""涅槃像"",""涅槃絵"",""涅槃図"",""涅槃寺"",""寝釈迦"",""餅花煎"",""釈迦の鼻糞"",""瘠せ馬""]"
"涅槃西風","ねはんにし","","[""涅槃吹"",""彼岸西風""]"
"根分","ねわけ","","[""菖蒲根分""]"
"野遊び","のあそび","","[""山遊び"",""野がけ"",""春遊び"",""ピクニック""]"
"乗込鮒","のっこみぶな","のつこみぶな","[""乗つ込み"",""初鮒"",""春の鮒"",""春鮒釣り""]"
"長閑","のどか","","[""長閑さ"",""のどけし"",""のどけさ""]"
"野蒜","のびる","","[""ひる""]"
"上り簗","のぼりやな","","[""""]"
"野焼く","のやく","","[""野焼"",""野火"",""草焼く""]"
"海苔","のり","","[""甘海苔"",""岩海苔"",""海苔ひび"",""海苔粗朶"",""海苔舟"",""海苔採"",""海苔掻く"",""海苔干す""]"
"蠅生る","はえうまる","はへうまる","[""蠅の子""]"
"萩根分","はぎねわけ","","[""萩植う""]"
"白鳥帰る","はくちょうかえる","はくてうかへる","[""""]"
"はこべ","はこべ","","[""はこべら"",""あさしらげ""]"
"蓮植う","はすうう","","[""""]"
"畑打","はたうち","","[""畑打つ"",""畑鋤く"",""畑返す""]"
"畑焼く","はたやく","","[""畑焼"",""畦焼く"",""畦焼"",""畦火""]"
"斑雪","はだれ","","[""斑雪"",""はだら雪"",""はだら"",""はだれ野""]"
